Date,Area,Depth,Width,longitude,latitude,altitude,Dangerous
3/31/2020,Santiago Ridge,1,300,-111.8493069,40.6240635,0.0,TRUE
3/29/2020,Neffs,0.5,10,-111.7501551,40.6731884,0.0,FALSE
3/29/2020,Wolverine,0.6666666666666666,50,-110.8811816,40.7203368,0.0,FALSE
3/29/2020,Evergreen Ridge,1,40,-111.87716,40.9041117,0.0,FALSE
3/28/2020,Coalpit,1,80,-111.7343416,40.5613862,0.0,TRUE
3/28/2020,Tuscarora,0.5,20,-111.5987748,40.5845206,0.0,FALSE
3/28/2020,Mill B South,2,100,-111.7143584,39.4225192,0.0,TRUE
3/28/2020,Alta Ski Area,1.3333333333333333,15,-111.6384012,40.5882366,0.0,FALSE
3/27/2020,Claytons,1,70,-112.0268012,41.1631243,0.0,TRUE
3/27/2020,Butler Basin,0.6666666666666666,70,-109.80056559943675,38.00155435,0.0,FALSE
3/27/2020,Main Days,0.8333333333333334,70,-111.464035,40.134356,0.0,FALSE
3/26/2020,Millicent Peak,1.5,60,-111.5975113,40.5905511,0.0,TRUE
3/26/2020,East Bowl,1.6666666666666667,250,-111.677609,40.326168,0.0,TRUE
3/26/2020,High Ivory,0.9166666666666666,70,-111.77175512670067,40.3560901,0.0,FALSE
3/26/2020,10420,2,60,-111.5583795,40.6000653,0.0,TRUE
3/25/2020,Grizzly Gulch,0.8333333333333334,20,-111.6176169,40.5945374,0.0,FALSE
3/25/2020,Days Fork,1,125,-111.6364591,40.621971,0.0,TRUE
3/25/2020,Little Water,1.1666666666666667,100,-109.5517824,37.1033343,0.0,TRUE
3/24/2020,Seagull,0.3333333333333333,10,-111.8928314,40.7697574,0.0,FALSE
3/23/2020,Firewater,0.08333333333333333,70,-109.9862591,39.6624647,0.0,FALSE
3/22/2020,Murdock Peak,0.4166666666666667,20,-111.604647,40.693559,0.0,FALSE
3/21/2020,Red Baldy,0.5,30,-111.6671395,40.5403139,0.0,FALSE
3/20/2020,Upper Days,0.5,35,-112.0543509,40.6320337,0.0,FALSE
3/18/2020,Pioneer Ridge,0.5,30,-112.8498287,37.6996004,0.0,FALSE
3/15/2020,Lake Mary,0.4166666666666667,60,-111.59051892399754,40.5892188,0.0,FALSE
3/14/2020,Little Superior,0.4166666666666667,10,-111.9164388,40.799927,0.0,FALSE
3/11/2020,Porter Fork,2,20,-111.7121964,40.6891988,0.0,FALSE
3/9/2020,No Name Bowl,0.8333333333333334,50,-112.03515604246542,40.5208607,0.0,FALSE
3/2/2020,Superior,0.25,10,-111.9164388,40.799927,0.0,FALSE
3/2/2020,Hellgate,0.16666666666666666,50,-111.4162774,41.1602453,0.0,FALSE
3/2/2020,Gobblers,0.3333333333333333,20,-111.682808,40.67074,0.0,FALSE
3/1/2020,Argenta,0.5,40,-111.5976811,40.6233813,0.0,FALSE
2/21/2020,Hogum,1.5,30,-111.7198577,40.5522892,0.0,FALSE
2/17/2020,Toledo Bowl,1.5,800,-112.03515604246542,40.5208607,0.0,TRUE
2/17/2020,Green Slope,1.5,100,-111.8763263,40.8763341,0.0,TRUE
2/17/2020,Reed and Benson Ridge,1.6666666666666667,100,-111.6471468,40.6035612,0.0,TRUE
2/17/2020,Sunset Peak,1,100,-111.5936177,40.5771083,0.0,TRUE
2/16/2020,Reynolds Peak,0.8333333333333334,30,-111.645712,40.6620683,0.0,FALSE
2/16/2020,Butler Fork,0.5833333333333334,100,-111.6638836,40.6522147,0.0,FALSE
2/16/2020,Flagstaff Ridge,0.5,300,-111.3121191,39.0702482,0.0,FALSE
2/7/2020,The Spire,1.5,100,-110.4327818,38.5093047,0.0,TRUE
2/7/2020,Silver Fork,1.5,500,-111.6195606,40.6181712,0.0,TRUE
2/6/2020,Memorials,1,60,-111.01753666367131,39.21236175,0.0,TRUE
2/6/2020,Dutch Draw,1.3333333333333333,20,-109.4192889,40.9361428,0.0,FALSE
2/1/2020,Wilson Peak,0.6666666666666666,50,-110.4615507,40.7757778,0.0,FALSE
1/31/2020,Rainbow Peak,1.5,35,-112.2404138,37.4750945,0.0,FALSE
1/28/2020,Cardiff Fork,0.3333333333333333,40,-111.6528203,40.5950092,0.0,FALSE
1/28/2020,White Pine,0.5,150,-112.0293301,41.147734,0.0,FALSE
1/25/2020,Broads Fork,6,80,-111.7156044,40.6043718,0.0,TRUE
1/21/2020,Salt Lake,0.4166666666666667,20,-111.9103124,40.6632297,0.0,FALSE
1/18/2020,Bountiful,1.6666666666666667,40,-111.8804817,40.8894611,0.0,FALSE
1/15/2020,West Monitor,1,125,-109.7356695,38.6605375,0.0,TRUE
1/12/2020,Square Top,1.25,40,-110.8957607,38.7742785,0.0,FALSE
1/3/2020,Microwave,1.5,60,-111.8017566,40.7499823,0.0,TRUE
12/25/2019,west porter,0.6666666666666666,100,-111.7121964,40.6891988,0.0,FALSE
12/25/2019,Moonlight,1,300,-110.3131012,37.0346083,0.0,TRUE
12/22/2019,Rocky Point,2.5,45,-114.0150068,40.3116003,0.0,FALSE
12/19/2019,Ant Knolls,2,200,-110.6910858,37.6987129,0.0,TRUE
12/17/2019,Snake Creek,0.8333333333333334,80,-109.6782053,37.2787425,0.0,FALSE
12/16/2019,Alexander Basin,2.5,350,-111.6770983,40.6783598,0.0,TRUE
12/14/2019,Twin Lakes Pass,1.5,300,-111.609145,40.5945855,0.0,TRUE
12/14/2019,Cardiff Pass,0.6666666666666666,300,-111.6514741,40.5960596,0.0,FALSE
12/14/2019,Twin Lakes area,3,50,-115.1562271,36.1535965,0.0,FALSE
12/13/2019,Paradise,2.5,50,-113.4257887,37.5316451,0.0,FALSE
12/2/2019,Hidden Canyon,2,50,-109.7869074,38.7292127,0.0,FALSE
11/27/2019,Davenport Hill,1,15,-111.6221452,40.599395,0.0,FALSE
10/29/2019,Gunsight,1.1666666666666667,5,-110.3571939,40.7939529,0.0,FALSE
5/24/2019,East Castle,0.8333333333333334,200,-111.6110918,40.5659668,0.0,FALSE
5/24/2019,Albion Basin,0.8333333333333334,30,-111.6167631,40.5800992,0.0,FALSE
5/24/2019,Devils Castle,2,500,-111.6134974,40.5655184,0.0,TRUE
4/14/2019,Jupiter,1.6666666666666667,125,-111.4128846,40.7650459,0.0,TRUE
4/13/2019,Big Willow,4,400,-111.8959303,40.5239148,0.0,TRUE
4/10/2019,West Porter,0.6666666666666666,30,-111.7121964,40.6891988,0.0,FALSE
4/5/2019,Blue Ice,10,300,-111.9751885,40.6309846,0.0,TRUE
3/31/2019,West Couloir,0.6666666666666666,30,-111.601565,40.2926764,0.0,FALSE
